0,"New roads and railways should be built by private companies, not the government.","New roads and railways should be built by the government, not private companies.","economics, state control",1
1,"Services like health care, education and social security should be provided by the government, not by private enterprise.","Services like health care, education and social security should be provided by private enterprise, not by the government.","economics, state control",1
2,"Sometimes interest rates should be raised to reduce inflation, even if doing so would cause a large number of job losses.","It's not worth raising interest rates to reduce inflation if this would result in the loss of large numbers of jobs.","economics, importance of inflation",1
3,"Drivers should pay enough tax to cover the cost of environmental damage caused by motor transport, even if that would price some people off the roads.","Drivers shouldn't have to pay taxes to cover damage to the environment caused by motor transport, since that would price some people off the roads.","economics, externalities",1
4,"The wealthy should pay a larger proportion of their income in tax than the poor.","The wealthy shouldn't pay a larger proportion of their income in tax than the poor.","economics, taxation, progressive/regressive",1
5,"The government should raise revenue by taxing consumption rather than income.","The government should raise revenue by taxing income rather than consumption.","economics, taxation, direct/indirect",1
6,"Overall, economic migrants bring benefits to our country.","Overall, economic migrants are a drain on our country.","economics, open borders; society, multiculturalism",1
7,"The government should subsidise farmers so that they stay in business, even if it would be cheaper to buy food from abroad.","There's no need to subsidise farmers if we can buy food more cheaply from abroad, even if that meant they went out of business.","economics, protectionism; society, importance of farming",1
8,"Smokers should be required to kick the habit before receiving medical care for smoking-related illnesses.","Smokers should be able to receive medical care for smoking-related illnesses even if they still smoke.","society, personal responsibility",1
9,"Everyone bears a moral responsibility for the actions of their government, even when they do not support them.","Nobody bears a moral responsibility for actions of their government if they don't support them.","society, collective responsibility",1
10,"Anybody who wants top-quality health care should expect to have to pay for it.","Everybody has a right to top-quality health care, even if they aren't wealthy.","society, access to health care",1
11,"The mix of minorities in public institutions should reflect their numbers in the general population.","It doesn't matter whether the mix of minorities in public institutions reflects their numbers in the general population.","society, affirmative action",1
12,"Having individual local representatives is more important than electing parties in exact proportion to their support.","It's more important that we elect parties in exact proportion to their support than that we each have individual local representatives.","society, proportional representation",1
13,"Officials like public prosecutors should be directly elected rather than chosen by the government.","Officials like public prosecutors should be chosen by the government, not directly elected.","society, technocracy/local democracy",1
14,"For society to be cohesive, it is important that everyone shares a common language.","A common language is not necessary for a cohesive society.","society, multiculturalism",1
15,"Legal protection for free expression creates more trouble than it's worth.","We should maintain the right to free expression, even if some people use it to create trouble.","society, fundamental rights",1
