0,"New roads and railways should be built by private companies, not the government.","New roads and railways should be built by the government, not private companies.","economics, state control"
1,"Some services can only be provided by the government, not by private enterprise.","All services can be provided by private enterprise, without government involvment.","economics, state control"
2,"Sometimes interest rates should be raised to reduce inflation, even if doing so would cause a large number of job losses.","It's not worth raising interest rates to reduce inflation if this would result in the loss of large numbers of jobs.","economics, importance of inflation"
3,"Repairing damage to the environment caused by motor transport should be paid for by levying taxes on drivers, even if that would price some people off the roads.","Drivers shouldn't have to pay taxes to repair damage to the environment caused by motor transport, since that would price some people off the roads.","economics, externalities"
4,"The wealthy should pay a larger proportion of their income in tax than the poor.","The wealthy shouldn't pay a larger proportion of their income in tax than the poor.","economics, taxation, progressive/regressive"
5,"The government should raise revenue by taxing consumption rather than income.","The government should raise revenue by taxing income rather than consumption.","economics, taxation, direct/indirect"
6,"Overall, economic migrants bring benefits to our country.","Overall, economic migrants are a drain on our country.","economics, open borders; society, multiculturalism"
7,"The government should subsidise farmers so that they stay in business, even if it would be cheaper to buy food from abroad.","There's no need to subsidise farmers if we can buy food more cheaply from abroad, even if that meant they went out of business.","economics, protectionism; society, importance of farming"
8,"Overweight people should be made to diet before they can get medical care.","There's no reason that overweight people should need to lose weight in order to get medical care.","society, personal responsibility"
9,"Everyone bears a moral responsibility for the actions of their government, even when they do not support them.","Nobody bears a moral responsibility for actions of their government if they don't support them.","society, collective responsibility"
10,"Anybody who wants top-quality health care should expect to have to pay for it.","Everybody has a right to top-quality health care, even if they aren't wealthy.","society, access to health care"
11,"The mix of minorities in public institutions should reflect their numbers in the general population.","It doesn't matter whether the mix of minorities in public institutions reflects their numbers in the general population.","society, affirmative action"
12,"Having individual local representatives is more important than electing parties in exact proportion to their support.","It's more important that we elect parties in exact proportion to their support than that we each have individual local representatives.","society, proportional representation"
13,"Officials like public prosecutors should be directly elected rather than chosen by the government.","Officials like public prosecutors should be chosen by the government, not directly elected.","society, technocracy/local democracy"
14,"For society to be cohesive, it is important that everyone shares a common language.","A common language is not necessary for a cohesive society.","society, multiculturalism"
15,"Legal protection for free expression creates more trouble than it's worth.","We should maintain the right to free expression, even if some people use it to create trouble.","society, fundamental rights"
16,"Nobody should go hungry, even if they refuse to work.","People who refuse to work should run the risk of going hungry.","society, the welfare state"
17,"Some art should receive government funding.","Art shouldn't receive government funding.","society, culture"
18,"Our nation has a glorious history.","Our nation's history is not particularly glorious.","society, national character"
19,"A person's social status shouldn't depend on who their parents are.","A person's social status should depend on who their parents are.","society, class"
20,"We should offer sanctuary to anybody fleeing persecution in their homeland.","We can't give sanctuary to anyone fleeing persecution in their homeland.","society, asylum seekers"
21,"There are some ethnic groups who can never be fully integrated into our society.","People of any ethnic group can be fully integrated into our society.","society, racism"
22,"Everyone should stand up for the National Anthem.","There is no reason to stand up for the National Anthem.","society, patriotism"
23,"Class distinctions should exist.","Class distinctions should not exist.","society, class"
24,"To protect society from drug abuse, narcotics must be banned.","It is not necessary to ban narcotics to protect society from drug abuse.","society, prohibition"
25,"Alcohol is a more dangerous drug than marijuana.","Marijuana is a more dangerous drug than alcohol.","society, drugs"
26,"Shared religious beliefs should be an important part of our society.","Shared religious belief isn't an important part of our society.","society, religion"
27,"Family is more important than society.","Society is more important than family.","society, family"
28,"Sometimes the only way to make a legitimate point of view heard is to break the law.","It is never necessary to break the law to make a legitimate point of view heard.","society, protest"
29,"Our society needs more lawyers.","Our society doesn't need any more lawyers.","society, importance of qualified experts"
30,"Some crimes are so serious that the only proper punishment is the death penalty.","No crime, however serious, should be punished by death.","justice, death penalty"
31,"Failing to deal with nuisance crimes like petty vandalism make serious crimes more common.","Failing to deal with nuisance crimes like petty vandlism don't make serious crime more common.","justice, zero tolerance"
32,"Everyone should have the right to trial by jury.","Trial by jury shouldn't be available in all cases.","justice, jury trial"
33,"It's more important to rehabilitate criminals than to punish them.","It's more important to punish criminals than to rehabilitate them.","justice, rehabilitation"
34,"It is only acceptable to use proportional force to defend your property from criminals.","It is acceptable to use any amount of force to defend your property from criminals.","justice, vigilanteism"
35,"Members of our society should be familiar with the history and traditions of our culture.","Members of society needn't be familiar with the history and traditions of our culture.","education, tradition"
36,"Young people benefit from compulsory military service.","Young people don't benefit from compulsory military service.","education, national service"
37,"Schools should concentrate on training people for the workforce.","Training people for the workforce is not the most important function of schools.","education, vocational"
38,"Schools should not teach children anything which contradicts their parents' religious faith.","There's nothing wrong with schools teaching children things which contradict their parents' religious faith.","education, importance of religion"
39,"Some people should not have access to the Internet.","Everyone should have access to the Internet.","education, access"
40,"Correct grammar is important.","Correct grammar doesn't matter.","education, traditional values"
41,"Scientists bear no moral responsibility for how their discoveries are used.","Scientists bear a moral responsibility for how their discoveries are used.","morality, the Feynman question"
42,"There are some inventions which should never be used, whatever their benefits.","We should make use of anything we can invent, if it benefits us.","morality, applications of technology"
43,"Some medical research would require so many animal experiments that it should not be done, whatever the benefits.","Beneficial medical research should always go ahead, however many animal experiments would be performed","morality, animal experiments"
44,"Faith should be based on the literal word of God.","Faith needn't be based on the literal word of God.","religion, evangelicism/scirtural literalism"
45,"There is a place for organised religion in government.","There is no place for organised religion in government.","religion, state"
46,"There are some sexual acts which are immoral, even between consenting adults.","There is no such thing as an immoral sexual act between consenting adults.","morality, sex and consent"
47,"It is immoral to be lazy.","Laziness is not immoral.","morality, work ethic"
48,"It is never moral to break the law.","Breaking the law is not always immoral.","morality, legality"
49,"No woman should be allowed to have an abortion, whatever the circumstances.","Abortion is acceptable in some cases.","morality, abortion"
50,"National law should always override international agreements.","Sometimes it's necessary for international agreements to override national law.","international, multilateralism"
51,"Sometimes civilians are a legitimate military target.","Civilians are never a legitimate military target.","international, laws of war"
52,"The people of this country have a very different character to those of our neighbours.","Fundamentally, the people of this country have the same character as those of our neighbours.","international, national character"
53,"Aid projects abroad should be funded by charities, not the taxpayer.","Some overseas aid projects should be funded by the taxpayer, and can't be left to charities.","international, government foreign aid"
54,"It's acceptable for a businessman to bribe a foreign official to complete a sale.","It's unacceptable for a businessman to bribe a foreign official to complete a sale.","international, moral relativism"
55,"Our armed forces should intervene to stop genocide in other countries.","Our armed forces shouldn't intervene in other countries, even to stop genocide.","international, armed intervention"
56,"Out sense of right and wrong comes from religious faith.","We don't need religious faith to have a sense of right and wrong.","religion, morality"
57,"Children should always obey their parents.","Sometimes children shouldn't obey their parents.","morality, family obedience"
58,"In the right circumstances, cutting taxes can increase government revenue.","Cutting taxes will never increase government revenue.","economics, Laffer curve"
59,"Economic globalisation will increase inequality.","Economic globalisation will decrease inequality.","economics, free trade"
60,"It's more important to make the poor richer than to decrease the gap between rich and poor.","It's more important to decrease the gap between rich and poor than to make the poor richer.","economics, perception of disparity"
61,"There is a danger that some large corporations will become more powerful than governments.","Governments will always be more powerful than large corporations.","economics, power of corporations"
